Source #,Date,Time,"Time
Source","Obs
Window
(min)",Latitude,Longitude,"Location
Source",Info Source,Fire Behavior Observations,"Type
of
Fire","Residual
Fire?",SSI
TD-109,11/8/2025,10:13:00 AM,AVL,76,39.762085,-121.568911,AVL,TD,fire threatening structures,O,,
TD-020,11/8/2025,10:15:00 AM,AVL TD-109,75,39.762061,-121.568979,TD,TD,"small fire on roof of main care facility of Canyon View
Dr",C,,
TD-005,11/8/2025,10:20:00 AM,AVL,32,39.762063,-121.568917,AVL,TD,"Bark mulch against building on fire; OSB under vinyl just
ignited, rapid fire growth",R,,
TD-103,11/8/2025,10:20:00 AM,Photo,0,39.75563,-121.571731,Photo,Photo,"building past peak, mostly collapsed; vehicle burning",C,,
TD-005,11/8/2025,10:38:00 AM,Photo,0,39.76163,-121.568072,Photo,Photo,"all condos burned to foundation, burned down already",R,x,
TD-005,11/8/2025,10:38:00 AM,Photo,0,39.761568,-121.567984,Photo,Photo,"Canyon View Dr detached homes are all burned to
foundation, some active flaming",R,x,
TD-005,11/8/2025,10:39:00 AM,Photo,0,39.761568,-121.567984,Photo,Photo,"Canyon View Dr detached homes are all burned to
foundation, some active flaming",R,x,
TD-005,11/8/2025,10:52:00 AM,video,3,39.760983,-121.568917,video,video,building burning out of eaves and under structure,C,,
TD-005,11/8/2025,10:55:00 AM,Photo,0,39.760248,-121.569305,Photo,Photo,FRH: multiple auxiliary hospital buildings are burning,C,,
TD-103,11/8/2025,11:14:00 AM,Photo,0,39.755255,-121.571109,Photo,Photo,structure fully involved,R,,
TD-103,11/8/2025,11:15:00 AM,Photo,0,39.755255,-121.571109,Photo,Photo,structure fully involved,R,,
TD-111,11/8/2025,11:19:00 AM,Inferred,31,39.757874,-121.570428,TD,TD,FRH: lower portion of hospital on fire,C,,
TD-069,11/8/2025,11:22:00 AM,Inferred,118,39.757641,-121.570452,TD,TD,FRH: lower hospital building is on fire,C,,
TD-005,11/8/2025,11:29:00 AM,AVL,1036,39.757529,-121.570494,TD,TD,"FRH: attic fire getting established, everything around
hospital on fire now",C,,
TD-109,11/8/2025,11:30:00 AM,AVL,414,39.757557,-121.570446,AVL,TD,"FRH: fire in roof of cardiology center; fire flaring up
through roof trenches",C,,
TD-103,11/8/2025,11:43:00 AM,Photo,0,39.757697,-121.570238,Photo,Photo,FRH: heavy smoke from outpatient wing of hospital,C,,
TD-103,11/8/2025,11:43:00 AM,AVL,64,39.756622,-121.569851,AVL,TD,FRH: see smoke in attic; patient room on fire,C,,
TD-103,11/8/2025,11:43:00 AM,Photo,0,39.757691,-121.570134,Photo,Photo,FRH: heavy smoke from cardiology wing,C,,
TD-103,11/8/2025,12:01:00 PM,Photo,0,39.756641,-121.569861,Photo,Photo,"FRH: fire in Family Health Center is out, some damage
to exam room, exterior wall",C,x,
TD-020,11/8/2025,12:47:00 PM,Radio Log,0,39.757701,-121.570451,TD,TD,FRH: fire in wing of hospital; building smoking,C,,
TD-103,11/8/2025,12:55:00 PM,AVL,614,39.757525,-121.570484,AVL,TD,"FRH: wind directed straight down hallway, would flare
up trench cuts in roof",C,,
TD-014,11/8/2025,1:24:00 PM,Radio Log,0,39.758244,-121.571631,AVL,Radio Log,FRH: fire at the hospital threatening main building,C,,
TD-014,11/8/2025,1:36:00 PM,Radio Log,0,39.758244,-121.571631,AVL,Radio Log,"FRH: hospital building well involved, beginning to
threaten the main hospital",C,,
TD-130,11/8/2025,1:46:00 PM,Photo,0,39.75724,-121.5728,Photo,Photo,structure fully involved,C,,
TD-130,11/8/2025,1:46:00 PM,Photo,0,39.757959,-121.572638,Photo,Photo,"active fire on parcel, collapsed structure",R,,
TD-130,11/8/2025,1:46:00 PM,Photo,0,39.757709,-121.570509,Photo,Photo,FRH: significant flames from roof of cardiology building,C,,
TD-130,11/8/2025,1:46:00 PM,Photo,0,39.757915,-121.569736,Photo,Photo,"FRH: surface fuels, a vehicle, a dumpster already
consumed; no hot spots",O,x,
TD-130,11/8/2025,1:49:00 PM,video,0,39.756547,-121.572775,video,video,"multiple structures fully involved west side of Pentz Rd
at hospital",R,,
TD-112,11/8/2025,1:50:00 PM,Inferred,370,39.757455,-121.570619,TD,TD,FRH: hospital is well involved,C,,
TD-130,11/8/2025,1:51:00 PM,AVL,319,39.757572,-121.570474,TD,TD,FRH: building burning inside,C,,
TD-103,11/8/2025,1:55:00 PM,Photo,0,39.757639,-121.570544,Photo,Photo,"FRH: portion of cardiology building fully involved;
flames coming from trench cuts in the roof",C,,
TD-103,11/8/2025,2:00:00 PM,Photo,0,39.757606,-121.570566,Photo,Photo,"FRH: flames coming from roof trenches of cardiology
building",C,,
TD-103,11/8/2025,2:07:00 PM,Photo,0,39.757606,-121.570566,Photo,Photo,"FRH: flames coming from roof trenches of cardiology
building",C,,
TD-103,11/8/2025,2:08:00 PM,Photo,0,39.757606,-121.570566,Photo,Photo,"FRH: flames coming from roof trenches of cardiology
building",C,,
TD-055,11/8/2025,3:00:00 PM,TD,180,39.757641,-121.570478,TD,TD,FRH: building burning,C,,
TD-112,11/8/2025,3:10:00 PM,Photo,0,39.757671,-121.570531,Photo,Photo,"FRH: cardiology building on fire; north wing is partially
collapsed",C,,
TD-130,11/8/2025,3:34:00 PM,Photo,0,39.757743,-121.570617,Photo,Photo,FRH: cardiology burning,C,,
TD-130,11/8/2025,3:34:00 PM,Photo,0,39.757912,-121.571109,Photo,Photo,FRH: HVAC unit on roof flaming,O,,
TD-005,11/8/2025,4:44:00 PM,Photo,0,39.757705,-121.570434,Photo,Photo,"FRH: north portion of cardiology mostly burnt down,
reduced fire activity",C,,
TD-005,11/8/2025,4:57:00 PM,Photo,0,39.757302,-121.570408,Photo,Photo,"FRH: cardiology, most fire activity on NW corner,
burning in rubble",C,,
TD-055,11/8/2025,5:49:00 PM,Photo,0,39.757746,-121.570627,Photo,Photo,"FRH: cardiology partially collapsed, still flaming",C,x,
TD-055,11/8/2025,5:50:00 PM,Photo,0,39.757641,-121.570478,Photo,TD,"FRH: lower hospital building is still burning, burned
down in sections",C,,
TD-103,11/8/2025,6:26:00 PM,Photo,0,39.757728,-121.57057,Photo,Photo,FRH: cardiology portion is flaming rubble,C,x,
TD-103,11/8/2025,11:40:00 PM,AVL,440,39.757995,-121.57105,AVL,TD,FRH: maintenance shed roof on fire,C,,
TD-103,11/8/2025,11:40:00 PM,AVL,440,39.757525,-121.570484,AVL,TD,FRH: interior fire threatening main building,C,,
TD-103,11/9/2025,12:21:00 AM,Photo,0,39.757891,-121.571183,Photo,Photo,FRH: hot spots inside cardiology building,C,x,
TD-103,11/9/2025,7:10:00 AM,AVL,257,39.757995,-121.57105,AVL,TD,FRH: maintenance shed roof on fire,C,,
911-077-3,11/8/2025,7:53:00 AM,911-077-3,0,39.778763,-121.577193,911-077-3,911-077-3,vegetation fire in side yard,S,,
911-129-1,11/8/2025,8:24:00 AM,911-129-1,0,39.777911,-121.59833,911-129-1,911-129-1,fire,S,,
TD-064,11/8/2025,8:30:00 AM,Inferred,14,39.778184,-121.585895,TD,TD,"notice spot fires on north side of Wagstaff Rd between
Clark Rd and Pentz Rd",S,,
911-141-2,11/8/2025,8:31:00 AM,911-141-2,0,39.775971,-121.600466,911-141-2,911-141-2,house on fire,R,,
911-157-1,11/8/2025,8:37:00 AM,911-157-1,0,39.776591,-121.588145,911-157-1,911-157-1,field behind Kmart on fire,S,,
TD-067,11/8/2025,8:38:00 AM,911-158-1,0,39.779476,-121.587807,TD,"TD, 911-158-1",spot fire,S,,
911-158-1,11/8/2025,8:38:00 AM,911-158-1,0,39.77945,-121.587721,911-158-1,911-158-1,"spot fire in grass, just started, small but still burning",S,,
911-162-1,11/8/2025,8:39:00 AM,911-162-1,0,39.77822,-121.604211,Inferred,911-162-1,flames on bike path,S,,
911-163-1,11/8/2025,8:39:00 AM,911-163-1,0,39.784007,-121.612384,Inferred,911-163-1,"smoke coming out of Little Butte Creek Canyon, just
started, somewhere about Lucky Ln",S,,
TD-014,11/8/2025,8:40:00 AM,Radio Log,0,39.777786,-121.579607,Radio Log,Radio Log,multiple spot fires [in area of] Pentz Rd / Wagstaff Rd,S,,
TD-075,11/8/2025,8:40:00 AM,Inferred,6,39.77773,-121.590638,TD,TD,noticed embers flying through air,O,,
TD-067,11/8/2025,8:40:00 AM,Inferred,6,39.779476,-121.587807,TD,TD,smaller spot fire in grass behind church,S,,
TD-042,11/8/2025,8:40:00 AM,Inferred,0,39.778477,-121.577106,TD,TD,"half of mobile homes in Ridgewood mobile home park
are on fire",R,,
911-169-1,11/8/2025,8:43:00 AM,911-169-1,0,39.777959,-121.60321,911-169-1,911-169-1,fire behind the house,S,,
PPD-02,11/8/2025,8:43:00 AM,PPD-02,0,39.778604,-121.588499,Radio,Radio,"large tree on fire between Wagstaff Rd and Della Ln by
the school district office",S,,
PPD-02,11/8/2025,8:43:00 AM,PPD-02,0,39.779087,-121.577092,Radio,Radio,"Ridgewood mobile home park; fires directly behind,
homes becoming involved",R,,
TD-067,11/8/2025,8:46:00 AM,PPD video,0,39.776799,-121.588842,TD,TD,"observed fully involved pine tree on south side
Wagstaff Rd",S,,
TD-067,11/8/2025,8:46:00 AM,Inferred,20,39.778443,-121.578823,TD,TD,"Ridgewood MHP, portions are burning",R,,
PPD-02,11/8/2025,8:46:00 AM,PPD-02,0,39.777473,-121.588112,Radio,Radio,spot fire; large tree and field involved,S,,
911-178-2,11/8/2025,8:46:00 AM,911-178-2,0,39.778331,-121.603978,Inferred,911-178-2,fire on the bike path behind house,S,,
TD-053,11/8/2025,8:50:00 AM,Inferred,10,39.777706,-121.594897,TD,TD,"houses burning, trees burning on north side",R,,
PPD-02,11/8/2025,8:52:00 AM,PPD-02,0,39.778476,-121.579561,Radio,Radio,fire reaching Pentz Rd now (Ridgewood MHP),O,,
TD-043,11/8/2025,8:55:00 AM,Inferred,21,39.778869,-121.578982,TD,TD,"mobile homes are burning in Ridgeway MHP (NW
corner)",R,,
TD-043,11/8/2025,8:58:00 AM,Inferred,18,39.778472,-121.57689,TD,TD,"mobile homes burning; pass through fire twice in
mobile home park to escape back to Pentz Rd
(Ridgewood Mobile Home Park)",R,,
TD-085,11/8/2025,8:59:00 AM,AVL,0,39.777336,-121.577799,AVL,TD,"Ponderosa mobile home park burning; sending ember
showers",R,,
TD-085,11/8/2025,8:59:00 AM,AVL,40,39.778433,-121.578792,AVL,TD,all mobile homes on fire (Ridgewood MHP),R,,
TD-043,11/8/2025,9:00:00 AM,"TD-085, TD-022",30,39.777779,-121.579642,TD,TD,pine trees igniting at intersection,V,,
TD-053,11/8/2025,9:00:00 AM,Inferred,0,39.776337,-121.588374,TD,TD,fire east of Kmart,R,,
PPD-02,11/8/2025,9:01:00 AM,PPD-02,0,39.778583,-121.579579,Radio,Radio,fire threatening vehicles,O,,
TD-042,11/8/2025,9:15:00 AM,Inferred,68,39.777646,-121.603153,TD,TD,numerous spot fires closer to Skyway,S,,
TD-017,11/8/2025,9:17:00 AM,AVL,103,39.777667,-121.59833,TD,TD,"Fire now spotting, pinching Wagstaff Rd between Clark
Rd and Skyway",S,,
TD-111,11/8/2025,9:21:00 AM,Radio Log,0,39.777657,-121.606241,TD,Radio Log,"Skyway at Wagstaff about to be threatened, multiple
cars on fire in the area",O,,
TD-111,11/8/2025,9:21:00 AM,Inferred,0,39.777667,-121.604621,TD,TD,"well-established spot fire off Wagstaff Rd near the bike
path",S,,
VTD-18,11/8/2025,9:28:00 AM,TD,0,39.77681,-121.588771,video,video,tall pine tree bark burning along the entire trunk,V,,
TD-052,11/8/2025,9:28:00 AM,Photo,0,39.778,-121.590473,Photo,Photo,"fire has burned up bark of tall pine tree behind (east)
Savemart",V,x,
TD-017,11/8/2025,9:30:00 AM,Radio Log,0,39.777731,-121.590543,Radio Log,Radio Log,"fire is well established [in area around] Clark Rd and
Wagstaff Rd",O,,
TD-127,11/8/2025,9:30:00 AM,Inferred,30,39.777987,-121.598007,TD,TD,"fire is burning from the NE into area of Rocky Ln and
Wagstaff Rd",O,,
VTD-18,11/8/2025,9:30:00 AM,TD,0,39.777301,-121.587854,video,video,"smoke plume rising from east of commercial buildings
(estimated source location)",O,,
VTD-18,11/8/2025,9:32:00 AM,TD,0,39.776068,-121.588136,video,video,"orange glow coming from east of commercial buildings
(estimated source location)",O,,
TD-127,11/8/2025,9:37:00 AM,Radio Log,0,39.777659,-121.604169,Radio Log,Radio Log,structures burning; vehicles about to get overrun,R,,
TD-055,11/8/2025,9:40:00 AM,Radio Log,0,39.777682,-121.602032,Radio Log,Radio Log,several structures threatened/involved,R,,
VTD-18,11/8/2025,9:43:00 AM,TD,0,39.775481,-121.588899,video,video,"30 m (100 ft) tall pine tree torches in 22 s; starts off
major fire behind buildings",O,,
TD-058,11/8/2025,9:44:00 AM,video,0,39.775481,-121.588899,video,"TD, video",trees torching,V,,
TD-052,11/8/2025,9:44:00 AM,Photo,0,39.775554,-121.588966,Photo,Photo,"very tall pine torching tree behind Savemart (Paradise
Plaza)",V,,
TD-127,11/8/2025,9:47:00 AM,Radio Log,0,39.777659,-121.604169,Radio Log,Radio Log,fire coming across Wagstaff Rd,O,,
TD-127,11/8/2025,9:57:00 AM,Photo,0,39.778025,-121.602808,Photo,Photo,"structure, surface fuels, vehicle all fully involved on
single parcel",R,,
TD-040,11/8/2025,10:00:00 AM,Inferred,60,39.778033,-121.580294,TD,TD,spot fires in grass field,S,,
TD-014,11/8/2025,10:15:00 AM,AVL,2,39.777724,-121.59837,AVL,TD,"lots of fire, structures burning both sides of Wagstaff Rd",R,,
TD-022,11/8/2025,10:15:00 AM,TD,0,39.775663,-121.605361,TD,TD,area fully involved in fire; fire coming from N and E,O,,
TD-022,11/8/2025,10:15:00 AM,Inferred,45,39.775663,-121.605361,TD,TD,heavy vegetation is burning,V,,
TD-127,11/8/2025,10:17:00 AM,Photo,0,39.777662,-121.60305,Photo,Photo,"all structures fully involved around Wagstaff Rd/Oak
Way; everything burning, swirling ember showers",R,,
TD-055,11/8/2025,10:22:00 AM,Photo,0,39.776884,-121.58848,Photo,Photo,structure burning well in garage,R,,
TD-055,11/8/2025,10:22:00 AM,Photo,0,39.776875,-121.588445,Photo,Photo,"attached garage of duplex fully involved, burning
through roof",R,,
TD-127,11/8/2025,10:40:00 AM,Photo,0,39.777289,-121.603059,Photo,Photo,"fire burning up against roadway, both sides of road",O,,
VTD-26,11/8/2025,10:43:00 AM,Inferred,0,39.778228,-121.601723,video,video,structure fully involved,R,,
VTD-26,11/8/2025,10:43:00 AM,Inferred,0,39.778058,-121.60216,video,video,structures burned to foundation,R,x,
VTD-13,11/8/2025,10:44:00 AM,video,0,39.77768,-121.603036,video,video,"multiple structures fully involved; homes to the west on
north side, some have collapsed",R,,
VTD-13,11/8/2025,10:44:00 AM,video,0,39.77768,-121.603036,video,video,1212 Wagstaff Rd and west on south side are burning,R,,
VTD-26,11/8/2025,10:44:00 AM,Inferred,0,39.783304,-121.612575,"video,
LANDSAT",video,large plume rising from canyon to west,S,,
VTD-26,11/8/2025,10:46:00 AM,Inferred,0,39.777369,-121.604218,video,video,structures burning on Berkshire Ave near Wagstaff Rd,R,,
TD-127,11/8/2025,10:57:00 AM,Radio Log,0,39.776749,-121.603057,Inferred,Radio Log,fire heavily impacting Oak Way and towards Bille Rd,O,,
TD-017,11/8/2025,11:03:00 AM,AVL,3,39.780343,-121.609252,AVL,TD,"Heavy fire and embers, embers entering vehicle door.
Everything burning all around",O,,
TD-127,11/8/2025,11:30:00 AM,Inferred,30,39.778239,-121.608737,TD,TD,heavy fire,O,,
TD-017,11/8/2025,11:34:00 AM,AVL,116,39.776363,-121.589966,AVL,TD,"Kmart threatened, front side of Kmart shrubs catching
fire.",S,,
TD-015,11/8/2025,11:35:00 AM,AVL,123,39.776164,-121.587283,TD,TD,fire around Kmart shopping center,O,,
PPD-08,11/8/2025,11:44:00 AM,PPD-08,0,39.778894,-121.589724,video,video,spot fire on both sides of Clark Rd,S,,
PPD-08,11/8/2025,11:44:00 AM,PPD-08,0,39.779241,-121.58957,video,video,spot fire on east side Clark Rd,S,,
PPD-08,11/8/2025,11:58:00 AM,PPD-08,0,39.779241,-121.58957,video,video,spot fire on both sides Clark Rd,S,,
PPD-08,11/8/2025,11:58:00 AM,PPD-08,0,39.778648,-121.5902,video,video,spot fire west side Clark Rd,S,,
TD-127,11/8/2025,12:00:00 PM,Radio Log,0,39.777628,-121.606319,Radio Log,Radio Log,multiple gas stations being impacted by fire,C,,
PPD-08,11/8/2025,12:00:00 PM,PPD-08,0,39.77764,-121.589221,video,video,spot fire,S,,
TD-043,11/8/2025,12:18:00 PM,Inferred,2,39.778454,-121.578432,TD,TD,Ridgewood MHP is burned down,R,x,
VTD-18,11/8/2025,12:22:00 PM,TD,0,39.776348,-121.591675,video,video,"fully involved bushes spot fire, 3 m to 4.6 m (10 ft to
15 ft) flames",S,,
TD-127,11/8/2025,12:24:00 PM,Radio Log,0,39.777646,-121.6063,Radio Log,Radio Log,fire on Skyway at Bille Rd and Wagstaff Rd,O,,
TD-127,11/8/2025,12:30:00 PM,Radio Log,0,39.777627,-121.606305,Radio Log,Radio Log,heavy fire impacting Skyway at Wagstaff Rd,O,,
TD-100,11/8/2025,12:30:00 PM,Inferred,0,39.778919,-121.613265,TD,TD,"Waggoner Rd, Wagstaff Rd impacted with fire",O,,
VTD-18,11/8/2025,12:30:00 PM,TD,0,39.778248,-121.590467,Photo,Photo,"spot fire, bushes/vegetation",S,,
VTD-18,11/8/2025,12:30:00 PM,TD,0,39.778062,-121.591908,Photo,Photo,"heavy fire, multiple structures burning",R,,
VTD-18,11/8/2025,12:47:00 PM,TD,0,39.776198,-121.591813,Photo,video,juniper bush spot fire,S,,
VTD-18,11/8/2025,1:13:00 PM,TD,0,39.777167,-121.588813,video,video,"all structures behind Savemart are past peak, fully
involved, partially collapsed",R,x,
TD-065,11/8/2025,2:25:00 PM,Inferred,31,39.778005,-121.590758,TD,TD,fire threatening structure; fire into siding,C,,
TD-043,11/8/2025,2:30:00 PM,TD,150,39.776522,-121.590402,TD,TD,fire around Kmart,O,,
TD-205,11/8/2025,4:45:00 PM,AVL,4,39.777534,-121.604897,AVL,TD,a few hot spots,O,,
TD-207,11/8/2025,4:49:00 PM,AVL,0,39.777648,-121.596977,AVL,TD,all burnt up,O,x,
TD-207,11/8/2025,4:52:00 PM,AVL,76,39.77917,-121.585533,AVL,TD,fire threatening structure,O,,
TD-065,11/8/2025,4:52:00 PM,AVL TD-207,173,39.77915,-121.585548,AVL TD-207,TD,fire threatening structure,O,,
TD-205,11/8/2025,4:54:00 PM,AVL,31,39.777383,-121.612533,AVL,TD,Fire getting under floor,R,,
TD-114,11/8/2025,5:14:00 PM,"AVL
Bus1403",0,39.776164,-121.59029,TD,TD,fire behind the Kmart,O,,
TD-108,11/8/2025,5:56:00 PM,Inferred,81,39.777827,-121.595673,TD,TD,"scouting on foot Wagstaff Rd between Moss Ln and
Apollo Ln; fire growing very fast",V,,
TD-207,11/8/2025,6:09:00 PM,AVL,96,39.780415,-121.585751,AVL,TD,fire threatening structure,O,,
TD-108,11/8/2025,6:34:00 PM,Photo,0,39.777827,-121.595673,Photo,Photo,"1359 Wagstaff Rd standing; structures on south side
Wagstaff Rd are burned down",R,x,
TD-108,11/8/2025,6:34:00 PM,Photo,0,39.777303,-121.595404,Photo,Photo,"structure burned to foundation, flaming",R,x,
TD-014,11/8/2025,7:14:00 PM,Radio Log,0,39.780941,-121.627902,Radio Log,Radio Log,fire in the wall of structure,R,,
TD-127,11/8/2025,7:19:00 PM,Radio Log,0,39.780959,-121.627915,TD,Radio Log,fire in wall of structure,R,,
TD-200,11/8/2025,9:52:00 PM,AVL,20,39.77675,-121.626883,AVL,TD,"thought there was attic fire, siding on fire",R,,
TD-202,11/8/2025,9:52:00 PM,AVL,20,39.776462,-121.626754,TD,TD,siding of structure burning,R,,
TD-069,11/8/2025,8:00:00 AM,TD,0,39.767481,-121.588974,TD,TD,15 cm (6 in) chunk of bark glowing,S,,
911-143-1,11/8/2025,8:32:00 AM,911-143-1,0,39.773011,-121.614879,911-143-1,911-143-1,fire behind house,S,,
TD-105,11/8/2025,8:40:00 AM,Inferred,20,39.770416,-121.602386,TD,TD,spot fires on Bille Rd,S,,
911-170-2,11/8/2025,8:43:00 AM,911-170-2,0,39.768924,-121.602999,Inferred,911-170-2,fire started somewhere north of Elks lodge,S,,
911-174-1,11/8/2025,8:44:00 AM,911-174-1,0,39.768492,-121.583432,911-174-1,911-174-1,fence on fire,O,,
911-183-4,11/8/2025,8:48:00 AM,911-183-4,0,39.767435,-121.596977,911-183-4,911-183-4,fire behind house,S,,
TD-077,11/8/2025,8:52:00 AM,Photo,0,39.768403,-121.597561,TD,TD,fire started in field behind PID office,S,,
911-195-4,11/8/2025,8:56:00 AM,911-195-4,0,39.770306,-121.609809,911-195-4,911-195-4,fire at bike path,S,,
TD-116,11/8/2025,9:00:00 AM,TD,23,39.769654,-121.58047,TD,TD,heavy ember cast,O,,
TD-116,11/8/2025,9:00:00 AM,TD,23,39.770288,-121.586277,TD,TD,"two structures fully involved, fire front not here yet;
ember ignition",R,,
TD-111,11/8/2025,9:00:00 AM,Radio Log,0,39.769875,-121.596369,TD,TD,spot fire,S,,
PPD-02,11/8/2025,9:04:00 AM,PPD-02,0,39.772396,-121.600205,Radio,Radio,fully involved structure [estimated position],R,,
TD-111,11/8/2025,9:10:00 AM,Inferred,0,39.7704,-121.601397,TD,TD,spot fires,S,,
TD-021,11/8/2025,9:23:00 AM,Inferred,0,39.770096,-121.579294,TD,TD,fire impacting Bille Rd,O,,
TD-038,11/8/2025,9:23:00 AM,Inferred,147,39.770217,-121.57859,TD,TD,homes igniting on east side Pentz Rd,R,,
TD-060,11/8/2025,9:35:00 AM,AVL,0,39.769717,-121.579117,AVL,TD,fire burning around intersection,O,,
TD-060,11/8/2025,9:35:00 AM,AVL,17,39.769252,-121.579192,AVL,TD,mobile homes beginning to ignite (Eden Roc Estates),R,,
TD-079,11/8/2025,9:36:00 AM,AVL,18,39.769867,-121.57935,AVL,TD,fire threatening structures,O,,
PPD-05,11/8/2025,9:49:00 AM,PPD-05,0,39.769679,-121.583588,Radio,Radio,"active flames, about 14 m (15 yd) from the roadway",V,,
TD-021,11/8/2025,9:50:00 AM,PPD video,0,39.769469,-121.583071,TD,TD,"fire impacting Bille Rd and vehicles abandoned/stuck on
road",O,,
TD-060,11/8/2025,9:52:00 AM,AVL,21,39.769467,-121.58075,AVL,TD,cars igniting on Bille Rd. Home catching fire.,R,,
TD-064,11/8/2025,9:53:00 AM,Inferred,9,39.772362,-121.608049,TD,TD,fire on east side of bike path around Berkshire Ave,R,,
TD-079,11/8/2025,9:54:00 AM,AVL,19,39.769519,-121.580796,AVL,TD,pickup on fire a few hundred yards down Bille Rd,O,,
TD-021,11/8/2025,10:00:00 AM,TD,30,39.769267,-121.5791,TD,TD,Eden Roc Estates mobile homes ignite and burn quickly,R,,
TD-127,11/8/2025,10:12:00 AM,Radio Log,0,39.773833,-121.603071,Radio Log,Radio Log,fire progressing toward Bille Rd and Skyway,O,,
TD-060,11/8/2025,10:14:00 AM,AVL,0,39.77035,-121.579432,AVL,TD,fire threatening structures,O,,
PPD-02,11/8/2025,10:16:00 AM,PPD-02,0,39.768937,-121.578861,Radio,Radio,"Eden Roc mobile home park is going up near Pentz Rd,
it’s not safe here",R,,
TD-014,11/8/2025,10:30:00 AM,Inferred,30,39.77395,-121.606051,TD,TD,"Lots of fire and structures burning. Fire pushing south
on both sides of Skyway",R,,
PPD-02,11/8/2025,10:31:00 AM,PPD-02,0,39.770152,-121.600853,Radio,Radio,active house fire,R,,
VTD-18,11/8/2025,10:42:00 AM,TD,0,39.77495,-121.591186,video,video,vegetation fire in hedges behind Kmart,V,,
VTD-26,11/8/2025,10:48:00 AM,Inferred,0,39.771396,-121.598318,video,video,"spot fire, shed fully involved",S,,
VTD-26,11/8/2025,10:48:00 AM,Inferred,0,39.770545,-121.598027,video,video,spot fires in parking lot vegetation,S,,
VTD-26,11/8/2025,10:48:00 AM,Inferred,0,39.770194,-121.598241,video,video,spot fires in parking lot vegetation,S,,
VTD-18,11/8/2025,10:50:00 AM,TD,6,39.774477,-121.591098,video,video,structures burning behind Kmart,R,,
TD-055,11/8/2025,11:00:00 AM,TD,60,39.770362,-121.616972,TD,TD,vehicles burning,O,,
TD-021,11/8/2025,11:00:00 AM,TD,0,39.769425,-121.582995,TD,TD,Bille Rd is blocked by burning vehicles,O,,
TD-116,11/8/2025,11:00:00 AM,TD,0,39.773798,-121.607057,TD,TD,fire is to the north of Hillside,O,,
TD-022,11/8/2025,11:00:00 AM,Inferred,180,39.772204,-121.607837,TD,TD,fire threatening structures,O,,
TD-116,11/8/2025,11:00:00 AM,Inferred,180,39.772664,-121.606622,TD,TD,surface fire burning from the north,V,,
TD-116,11/8/2025,11:00:00 AM,Inferred,180,39.771587,-121.609279,TD,TD,"surface fire burning through mobile home park;
structures in Skyway Villa mobile home park starts
burning structure to structure",R,,
TD-116,11/8/2025,11:00:00 AM,Inferred,180,39.772187,-121.607813,TD,TD,fire front igniting houses on Berkshire Ave,R,,
TD-116,11/8/2025,11:00:00 AM,Inferred,180,39.771677,-121.607502,TD,TD,"compost pile ignites, spreads to house",R,,
VTD-18,11/8/2025,11:01:00 AM,TD,0,39.774769,-121.591008,video,video,structure fully involved,R,,
VTD-18,11/8/2025,11:01:00 AM,TD,0,39.774814,-121.589873,video,video,"structure fully involved, past peak, roof collapsed",R,,
VTD-18,11/8/2025,11:02:00 AM,TD,0,39.77464,-121.589197,video,video,structure is burning,R,,
VTD-18,11/8/2025,11:02:00 AM,TD,0,39.774832,-121.588512,video,video,structure is fully involved,R,,
TD-030,11/8/2025,11:10:00 AM,AVL,0,39.770435,-121.612785,AVL,TD,Fire progressing over hill,O,,
TD-030,11/8/2025,11:10:00 AM,AVL,130,39.769578,-121.626656,AVL,TD,Fire burning north of Bille Rd,O,,
TD-030,11/8/2025,11:10:00 AM,AVL,130,39.770377,-121.616499,AVL,TD,Fire on both sides of Bille Rd,O,,
TD-015,11/8/2025,11:16:00 AM,AVL,6,39.770043,-121.57922,AVL,TD,"fire all around. Eden Roc mobile home park had already
burned",O,,
PPD-08,11/8/2025,11:22:00 AM,PPD-08,0,39.770543,-121.597851,video,video,spot fire,S,,
PPD-08,11/8/2025,11:24:00 AM,PPD-08,0,39.770537,-121.598265,video,video,numerous small spots in mulch or other ground cover,S,,
TD-127,11/8/2025,11:30:00 AM,Inferred,30,39.770367,-121.612346,TD,TD,fire is approaching,O,,
TD-127,11/8/2025,11:30:00 AM,Inferred,30,39.769914,-121.612077,TD,TD,bushes igniting around building,V,,
PPD-08,11/8/2025,11:43:00 AM,PPD-08,0,39.769994,-121.598432,video,video,vegetation spot fire on west side Clark Rd at KFC,S,,
TD-118,11/8/2025,12:00:00 PM,Inferred,175,39.769334,-121.582557,TD,TD,"vehicles burned (horse trailer, delivery truck, fifth wheel
with truck)",O,,
TD-118,11/8/2025,12:00:00 PM,Inferred,175,39.770471,-121.589817,TD,TD,burning vehicles; can hear another fire push coming,O,,
PPD-08,11/8/2025,12:05:00 PM,PPD-08,0,39.77074,-121.598374,video,video,small spot fire,S,,
PPD-08,11/8/2025,12:05:00 PM,PPD-08,0,39.770353,-121.598169,video,video,small spot fire,S,,
PPD-08,11/8/2025,12:05:00 PM,PPD-08,0,39.769997,-121.598438,video,video,bushes burning at KFC,S,,
PPD-08,11/8/2025,12:07:00 PM,PPD-08,0,39.768665,-121.597308,video,video,spot fire,S,,
TD-101,11/8/2025,12:22:00 PM,Photo,0,39.769947,-121.600011,Photo,Photo,detached garage and other objects burning on parcel,O,,
